,tweets
124274104,"Because Brexit really is shit.
https://t.co/TCbx863KE4"
1562050369353650178,"@CairnsAlistair @GaryMcleft @Arron_banks 224 farmers in England were paid under the government’s flagship post-Brexit nature-friendly agriculture scheme last year.
Leaked figures show that only a tiny fraction of the farms received payment under the  (SFI), the government’s plan to replace EU farming subsidies."
856131906,"#Brexit
#Farming

Brexit lies: British farmers despair of the truth of a Brexit in 2023 

TMLD NEWS

#ConservativeParty
#Conservatives 

https://t.co/iufUz5R7oV via @YouTube"
570783790,Just 224 farmers were paid under post-Brexit farming scheme last year https://t.co/CXPytOHYYc
29659071,@BritishAlba Go and speak to farmers and people in the SW. Most of their funding has dried up since Brexit. Reality is regions are now competing with national priorities for funding in a way they werent before (and Westminster priorities tend to win out).
1854347322,Just 224 farmers were paid under post-Brexit farming scheme last year! https://t.co/kXX5r0dLxF
1467688904597856271,Another #Brexit miracle!! How much better things are sure… https://t.co/hdaleNtQky
701696631331287040,"UK Farmers have lost unfettered access to their nearest export market, reduction in farm subsidies, have been disadvantaged by trade deals giving access to the UK market to rival farmers from Aus &amp; NZ
#BrexitBrokeBritain #Brexitisntworking
https://t.co/ALbtDhSKVS"
1588874990790868993,"@waltjack71 @sainsburys @Tesco @1GarethWynJones @FarmersWeekly @FarmersGuardian @scottishfarmer @NFUtweets @natsheep @BBCNEandCumbria @FarmingUK @TheFarmingForum @BBCFarmingToday Farmers been buying Japanese vehicles for more than 30 years … because they were cheaper/better value.

Farmers voted for Brexit (despite huge benefit from EU subsidies).

Farmers vote Conservative — so they vote for an ideology of the free market."
1688351,Just 224 farmers were paid under post-Brexit farming scheme last year https://t.co/Iv4kxXFSrK
4518290273,"The UK’s post Brexit farming scheme should leave our heroic farmers better paid for doing environmental goods like rewilding. 

Instead it’s leaving them facing an uncertain &amp; financially perilous future. We owe them to do better than this. 

https://t.co/947wOiBA5i"
4854823233,Just 224 farmers were paid under post-Brexit farming scheme last year https://t.co/u4FCiVPCoX
26499221,"Stop buying this garbage man's garbage, please. (Common Agricultural Policy, payments trying to support EU farmers and keep food affordable, but  he doesn't support it because he can put £120M into farming and he likes Brexit.) https://t.co/GmCWaHUbvP"
765200329780654081,Brexit dividend for farmers leave loyalty?: https://t.co/1SFkWhOEGQ
25876418,"Sir James Dyson responds to my article on Brexit and farming. My £120m investment in family farm dwarfs CAP receipts he says https://t.co/yLq6tLcldk  

""Brexit provides the freedom to devise a subsidy regime which replaces the EU’s flawed CAP payments"".
https://t.co/tCshsAP8W8"
67428426,Just 224 farmers paid under post-Brexit farming scheme last year https://t.co/0D5uH521Rg [@Guardian]
551309210,"@10DowningStreet
Oh dear. More Tory incompetence over that gift that never stops giving Brexit
https://t.co/YnipWWIRny"
195918495,"@NFUtweets any comments?
Just 224 farmers were paid under post-Brexit farming scheme last year https://t.co/MhxcmqfV4i"
96113401,Just 224 farmers were paid under post-Brexit farming scheme last year https://t.co/ELDRYkWfYz
14242585,May have been a lot of forms to fill in with the EU but at least you got the money  https://t.co/8YbByAIA5i
1499086615989436417,‘We’re only seeing the negative’: UK farmers on Brexit and losing the common agricultural policy | Brexit | The Guardian https://t.co/e2kCAo46Ik
2261336599,Just 224 farmers were paid under post-Brexit farming scheme last year in #Brexit bonanza #rejoineu https://t.co/f2rLKTLlYw
1662262598,"Take back control, look after our own ...

Just 224 farmers were paid under post-Brexit farming scheme last year https://t.co/Sm3OHw8Gwh"
455243596,"More Tory lies &amp; broken promises!
Tory promise to replace EU farming subsidies reneged on as just 224 farmers or 0.2%  of 102,000 farmers who received EU subsidies were paid under post-brexit farming scheme last year+far less than under the EU🇪🇺 scheme!🧐⬇️https://t.co/k9qDAVw3UT"
2411061455,https://t.co/jseR4cOMlR
854449144336982017,Just 224 farmers were paid under post-Brexit farming scheme last year https://t.co/y2GsB6g8yM
14785823,Syniadau gwych. Ond dim gobaith gwerthu orennau fesul cais i gwsmeriaid y DU oherwydd Brexit.  https://t.co/dTpnwDCEun
883795176224903169,"Just 224 farmers were paid under post-Brexit farming scheme last year. Leaked figures show tiny fraction of England’s farms received payment under sustainable farming incentive...
https://t.co/vtqFdHvTfN"
1254848311078670342,@waltjack71 @sainsburys @Tesco @1GarethWynJones @FarmersWeekly @FarmersGuardian @scottishfarmer @NFUtweets @natsheep @BBCNEandCumbria @FarmingUK @TheFarmingForum @BBCFarmingToday New Zealand lamb just tastes better and is cheaper and farmers voted for Brexit
113123928,Farmers face precarious future with loss of CAP https://t.co/jlHZPtHGrl
77537857,"‘We’re only seeing the negative’: UK farmers on Brexit and losing the common agricultural policy

Yes , I have been asking for a balance sheet of Brexit pros and cons from Sir Bernard Jenkins MP from the beginning of the Brexit process, but a not a thing! https://t.co/zw9zSPWxvm"
1371790813500424193,https://t.co/3CjWYGt8EJ
228176071,Just 224 farmers were paid under post-Brexit farming scheme last year https://t.co/b0kZofQGsU
832543883196248064,Just 224 farmers were paid under post-Brexit farming scheme last - https://t.co/HX0uImUfdM
800717025773400064,"The Guardian: Just 224 #farmers were paid under post-#Brexit #farming scheme last year.
https://t.co/iuPx7TfFsu

via @GoogleNews"
80021045,"This once again shows that the Government are letting down farmers. 

Without these payments, thousands of family farmers will go out of business.

Conservative Ministers must halt the phase-out of BPS until ELMs is rolled out in full and open to everyone.
https://t.co/HbXkTAzyn4"
1439298802674962433,‘We’re only seeing the negative’: UK farmers on Brexit and losing the common agricultural policy https://t.co/6cEvMwRgf4 @Conservatives catastrophic Brexit
798442902,Just 224 farmers were paid under post-Brexit farming scheme last year https://t.co/PbELvfVRQh
831288468437344260,Just 224 farmers were paid under post-Brexit farming scheme last year https://t.co/u0pMaAj3HP
777934541361123328,"Another shambles @theresecoffey?  

""Long delays to the implementation of the schemes, first proposed by @michaelgove when he was environment secretary in 2018 but delayed many times since then, have caused many farmers not to sign up.""

https://t.co/raqkf1GtrC"
900201493,Just 224 farmers were paid under post-Brexit farming scheme last year https://t.co/hKdT8H9qDo
2805641943,"More #BrexitShambles if only we had told you, farmers...🤦‍♀️😵‍💫
https://t.co/x9nXh9GWPx"
14685924,Surely not what Brexit voters hoped for ?  https://t.co/mTe8R7V3aJ
17119156,Just 224 farmers were paid under post-Brexit farming scheme last year https://t.co/4ZhlRHP4aT
747349420983754752,‘We’re only seeing the negative’: UK farmers on Brexit and losing the common agricultural policy. #ToryBrexitDisaster  https://t.co/aazn9cyhgQ
220365524,"Just 224 farmers paid under post-Brexit farming scheme last year 
#Brexit
#NorthernIreland
#Belfast
#Scotland 
#DUP
#UrsulaVonDerLeyen
#MichelBarnier
#DavidFrost 
#RishiSunak 
#KingCharlesIII
#EU
#MichaelGove
#Economy
#Ukraine
https://t.co/7ucWSTF3pI"
352998388,"Tories breaking agriculture.

The consequence will be off-shoring our animal welfare and food safety standards to places like Australia, NZ and US, instead of accountability to the UK consumer here.

Just 224 farmers paid under post-Brexit farming scheme 
https://t.co/ivrYSCnU2z"
1505132118787203074,"@waltjack71 @AmandaKendal @sainsburys @Tesco @1GarethWynJones @FarmersWeekly @FarmersGuardian @scottishfarmer @NFUtweets @natsheep @BBCNEandCumbria @FarmingUK @TheFarmingForum @BBCFarmingToday It’s the ‘free market’ you know the one pushed by Tories for ever, the party that the vast majority of farmers voted for and which got the brilliant NZ free trade deal that favoured their farmers. No EU protections. Farmers voted for Brexit"
1362177019,‘We’re only seeing the negative’: UK farmers on Brexit and losing the common agricultural policy https://t.co/LAGZygxfYx
363724934,"world beating ....... not good for #foodsecurity and no good for the #environment

Just 224 farmers paid under post-Brexit farming scheme last year https://t.co/sBBxVAaSGU"
1551416341,"The headline doesn't do justice to the importance and complexity of making this transition successful -  #biodiversity, #climate, #resilience
#ecosystem all impacted by this

https://t.co/OoV6W7khUu"
34687594,"Just 224 farmers paid under post-Brexit farming scheme last year.

https://t.co/5Sv5gIOsuZ"
838355126477783048,"Farmers reaping Brexits benefits, must grate on those who voted leave.
#BrexitShambles
https://t.co/oC0hmA3hGb"
22519204,"No money for Elms means farmers will have no choice but to intensify their agricultural methods, which would be disastrous for the environment. 
https://t.co/5nlUEJIagd"
1089150094765641728,Just 224 farmers paid under post-Brexit farming scheme last year https://t.co/Kd4DJeo2z5
20521666,Early days..clearly huge work to get ELMs moving big time... https://t.co/P0JhzcCnKp
236850385,Just 224 farmers paid under post-Brexit farming scheme last year https://t.co/qHy9ZHHub9
1198579386682871810,"""Just 224 farmers in England were paid under the government’s flagship post-Brexit nature-friendly agriculture scheme last year."" https://t.co/0Vmpf1FEyE"
944127427470594048,"Just 224 farmers paid under post-Brexit farming scheme last year

If Tory incompetence and dishonesty is so high that they do not hesitate to piss on their traditional rural constituency, just think what they are doing to the peasants.  https://t.co/QebKc3dbZ1"
171920903,‘We’re only seeing the negative’: UK farmers on Brexit and losing the common agricultural policy https://t.co/leRH5pil7X
124296126,Just 224 farmers paid under post-Brexit farming scheme last year https://t.co/YrNhC2Fdw5
1410540669173743619,Just 224 farmers paid under post-Brexit farming scheme last year https://t.co/NhxhLSPEK0 #BrexitCarnage
1932207270,Just 224 farmers paid under post-#Brexit farming scheme last year https://t.co/U7fa6i3rLu
902620050636595203,"Big promises as usual for the farming subsidy supposed to replace the former EU subsidy, 0.2% of eligible farmers received it. Brexiter lies and short changing as usual #BrexitCarnage 

https://t.co/GwZ2s7gpKF"
283636451,Just 224 farmers paid under post-Brexit farming scheme last year https://t.co/Q8ICAFTRe2
62626172,Just 224 farmers paid under post-Brexit farming scheme last year https://t.co/luyx8ddPh5
138403219,"It's a litany of failure... ""Just 224 farmers paid under post-#Brexit #farming scheme last year"" #farmers  #NFU

https://t.co/FW6n9HdPlv"
504584963,"#BrexitShambles added to Tory incompetence.

Unbelievable.

#ScottishIndependence

https://t.co/GBjhJACZNx"
204923510,Just 224 farmers paid under post-Brexit farming scheme last year https://t.co/QjokOMgrXw
1601618781910048768,"Only 224 farmers paid under the post-Brexit farm scheme last year |  Agriculture
https://t.co/NAEPmluvFi"
3253345791,‘We’re only seeing the negative’: UK farmers on Brexit and losing the common agricultural policy https://t.co/sKM1VmRWe6
334626332,Just 224 farmers paid under post-Brexit farming scheme last year https://t.co/tHhZtS2Xgj
3062777470,"Leaked figures show tiny fraction of England’s farms received payment under sustainable farming incentive

Just 224 farmers in England were paid under the government’s flagship post-Brexit nature-friendly agriculture scheme last year https://t.co/NQTSXYuwCa"
191112958,Just 224 farmers paid under post-Brexit farming scheme last year https://t.co/HQIuwTctyF
2268854223,"@ClaudiaWebbe @julesbrown12 I wonder too Claudia.  What about apologising for the true and
dastardly fascist rampage entitled Brexit.  Blindfolded ideology
of wreckingball proportions bankrupting thousands of SMEs, Farmers, Fruiterers etc.
Hybrid PM occupies 🎩🔯 headspace likely to be © 2030 or so."
2899852173,Just 224 farmers paid under post-Brexit farming scheme last year | Farming https://t.co/ihd4jXvaAb
1431381303568576519,Just 224 farmers paid under post-Brexit farming scheme last year | Farming | The Guardian🙄🙄 Grow the pie she said 🙄🙄 Growing grain might help! Doh pe Brexit innit! 🙄 https://t.co/WWeaI1EWHm
162973672,Just 224 farmers paid under post-Brexit farming scheme last year https://t.co/PrMrnUaO4m
1412369746457088000,‘We’re only seeing the negative’: UK farmers on Brexit and losing the common agricultural policy | Brexit https://t.co/t2Zm7QHg3x
467369703,Exclusive by me and @fionaharvey from the Oxford Farming Conference- just 224 farmers have been given their post Brexit farming payments #OFC23 #ORFC2023 https://t.co/lwWn0mkGUv
986338091500785664,Just 224 farmers paid under post-Brexit farming scheme last year | Farming | The Guardian https://t.co/cP7gJswxlg
424680285,@waltjack71 @sainsburys @Tesco @1GarethWynJones @FarmersWeekly @FarmersGuardian @scottishfarmer @NFUtweets @natsheep @BBCNEandCumbria @FarmingUK @TheFarmingForum @BBCFarmingToday But... but... the Tories told us they made a great deal with New Zealand. Most UK farmers voted Brexit - shouldn't they just Get Over It?
107956816,@waltjack71 @sainsburys @Tesco @1GarethWynJones @FarmersWeekly @FarmersGuardian @scottishfarmer @NFUtweets @natsheep @BBCNEandCumbria @FarmingUK @TheFarmingForum @BBCFarmingToday Farmers voted for Brexit.  Sunlit uplands of trade agreements with NZ etc.
603077286,"@natalieben UK farmers are being priced out by supermarkets. Farmers are leaving the industry by choice, or by insolvency. Government happy to do Trade Deals with Australia and NZ, undermining our Farmers. Even the NZ media realise this would affect UK Farmers. Brexit benefit, of course!"
752618003213197312,@waltjack71 @sainsburys @Tesco @1GarethWynJones @FarmersWeekly @FarmersGuardian @scottishfarmer @NFUtweets @natsheep @BBCNEandCumbria @FarmingUK @TheFarmingForum @BBCFarmingToday I believe most farmers voted for Brexit. This is Brexit.
339186712,"@Tonkerdog69 @spencerdjames @darrengrimes_ Anyway, how’s that list of Brexit benefits coming on?
What happened to the great trade deal with the USA we were promised? So far we have a terrible deal with Australia that will put British farmers out of business..any other bonuses on the horizon?"
3345235197,"Have you seen the recent article in the @guardian? 
Our Deputy President Ian Rickman explains the challenges that farmers are still facing due to Brexit. 

👀👉 https://t.co/mNKJPrETrl"
975838020640403459,"@jimdixonwriter @JimfromOldham @horton_official @UKLabour And important @UKLabour aren’t afraid of food &amp; farmers. Farming has been f@cked over by the @Conservatives &amp; their #brexit 

@NFUtweets are good advisors but @LandworkersUK , @UKSustain @ofgorganic @SoilAssociation @tenantfarmers &amp; others are essential voices"
194119160,"@BenDooley8 @waltjack71 @sainsburys @Tesco @1GarethWynJones @FarmersWeekly @FarmersGuardian @scottishfarmer @NFUtweets @natsheep @BBCNEandCumbria @FarmingUK @TheFarmingForum @BBCFarmingToday Oh really? But we haven't had a situation when the Government is so desperate for trade deals, to legitimise Brexit,that food from the other side of the world is much cheaper than food from the farm next door. Still doesn't explain why so many farmers voted leave. Madness."
3157833324,"@MagnusCanis2 @Musc1esbri2 @NicholasTyrone @mrjamesob The irony is brexit is hurting those that voted for it the most,  fishermen farmers etc. Areas that got EU funding have had it slashed."
2875721051,@ScotTories Please remind us again how you threw farmers under the Brexit bus?
979261273,"@Cynfab3 @markchopharris @PeterGriffinUk1 @NicholasTyrone Exactly. Jacob William Rees-Mogg and his ilk didn’t advocate in favor of Brexit in order to subsidies British farmers. Deregulated “Singapore on Thames” is not going to be any nirvana for small local farmers, only for the wealthy land owners and unscrupulous hedge funds."
2178744220,@katebattrick Pity the fishermen who thought that Farage was their friend and believed his #Brexit rhetoric. But @NFUtweets recommended staying in the EU EU referendum: National Farmers' Union backs staying in EU https://t.co/uimAjw3xz4
1350976129218306058,"@searedsha u are a silly tart

people like u made brexit happen/trump to win/nearly win again/brazil trump/italy and sweden going right wing/eastern europe  right wing/le pen in france as you are out of touch and call people bad names as ur sooo full of manure that farmers r running short"
1394672686366871556,"For context, it will take pork farmers 200,000 years of this trade deal to save back one year of Brexit losses. Good deal? https://t.co/IUqJIa0xs3"
1286469894,@helenjerome You can see how well British farmers are doing from this story last week: https://t.co/rMoLR1jo3W
226512656,‘We’re only seeing the negative’: UK farmers on Brexit and losing the common agricultural policy https://t.co/ABqq1nV7EF
2605992030,"@waltjack71 @sainsburys @Tesco @1GarethWynJones @FarmersWeekly @FarmersGuardian @scottishfarmer @NFUtweets @natsheep @BBCNEandCumbria @FarmingUK @TheFarmingForum @BBCFarmingToday Because our farmers don't make sure our farming organisations are being proactive to ensure our government is being supportive like theirs are. 
Any farmer who voted for the Tories or voted for Brexit, voted for this."
351111627,"Gov’t Ministers answer to #Brexit failure costing the UK £40bn a Year in lost tax revenue ..  is 

for UK farmers to sell Xmas ‘pigs in blankets’ to South Korean diners in 5 year deal worth … wait for it 

£1m

This is the #BrexitReality 

You couldn’t make this shit up ⬇️ https://t.co/FBfuggXeLa"
489377813,@DnrTrae It’s just not true that 70% of farmers voters Brexit. And it’s now irrelevant.
1510865376237740036,"Shame on the Guardian for not asking the farmers how they voted. Everyone complaining about it should be asked.

‘We’re only seeing the negative’: UK farmers on Brexit and losing the common agricultural policy | Brexit | The Guardian https://t.co/6jW2eQlT4v"
955489003276521473,"@BSAMBROOK @JjinUk64 @spectator No, it's pretty simple. I'm a trained negotiator. The UK gave up more than it should to get a fast deal, hurting UK farmers, just to please the ignorant gammon. Our ""negotiators"" are useless. Real negotiators wouldn't touch brexit with a bargepole because it's lose-lose."
1293573317434146816,"5.5 p per day for pig farmers across the UK. 

Another massive Brexit win. 

We should have left sooner. https://t.co/TLYr6TZEWO"
1433883409106055172,"@scrum5atk @BeckettUnite There is a reason they aren’t being used for farming, because farming in this country is way too expensive. Farmers sell their land for solar farms and they can’t make any money actually farming, mainly cause of brexit and cutting farming subsidies"
2748240700,@PeterStefanovi2 @mikegalsworthy Do you remember when Michael Gove promised Farmers that food standards would not be reduced or removed post Brexit? I do. https://t.co/w2sPCkSbjP
105748390,"@PeterStefanovi2 Thank god for Brexit, the economy is saved!!!! The farmers are ecstatic. Oh you mean ONLY a million value in 5 years and they're bragging about it!!!"
1501716185234096129,"@NicholasTyrone Amen to that!

It makes me angry that the govt would commit to trade deals that actually make our situation worse (according to farmers &amp; they know their business) just to pretend that Brexit has a plus &amp; help save their worthless skins..."
1610304455362084865,"@EuroManc Brexit was so clearly against our own interests, as those who initailly bought the slogan 'taking back control', like farmers and fisheremen, have found. Only a vague confused question got it through. The Irish, unlike us, know how to run referenda"
246702542,"@jhammond1993 @WritesBright Brexit is certainly main issue! There are so many NHS staff that left because of Brexit. It’s same story with farmers who are now crying they’ve got no one to pick their fruits &amp; vegs, it’s due to Brexit xenophobia that drove those EU migrant workers out of the UK!"
1397978657998651399,‘We’re only seeing the negative’: UK farmers on Brexit and losing the common agricultural policy. Brexit is failing!  And this is only the beginning! https://t.co/J6vaBzKoSo
1579781852646309892,"@alanmoore1967 @delroymorrison2 @MatthewStadlen According to most farmers, and NUF, it is brexit that has damaged British agriculture, by erecting trade barriers and NTBs"
1104702810220888064,"@Bigkeggy1 @TheActofUnion @MrRCain2 Perhaps promoting and endorsing Brexit. Taking £635,000 to encourage and promote Brexit. Ignoring business, retail &amp; farmers across the North.Failing to accept anything other than a hard Brexit. Alienating anyone and then suffering amnesia that was what they demanded!"
82342610,@AndrewRTDavies I’d rather have a discussion on EU CAP payments. Do you think farmers who claim it should give it back to taxpayers being as Brexit being done?
173389204,@GregHands Is this a parody account? £1m over five years when the loss of the EU subsidy has pushed 42% of farms from profit into loss. Not even a drop in the ocean. Deals with NZ &amp; Australia have only made matters worse too. https://t.co/8eoqemxt6a
321417084,"@SamanthaJooste @brexit_sham Polling at the time (in Farmer's Weekly) showed that farmers were 52.5:47.5 in favour of Leave, which is the same as the general population, given the margin of error.

There were many cases of *landowners* erecting Leave signs; doesn't mean the farmers agreed!"
138108708,The replacement of the EU’s disastrous Common Agriculture Policy in England with a new system of payments for environmental land management means farmers in our remoter landscapes will be paid to lead the change which is now inevitable. This by me- /End https://t.co/mz1vxz4lwx
1600157546483892224,#Farmers need new products to cope with climate change 🍒🍊🍯🍞🥐🥖🥞🍯🍞🥐🥖🍎🍐🍊🥫🍳🥚🍋🍌🍉🥦🍎🍍🍑🍇🍓🍅🥕🌽🍳Fishing for Brexit opportunities will end with an unsatisfactory haul
481576485,@GregHands Wow. 1 million over 5 years for pork farmers 🤣 the brexit dream is sure delivering hahah
959107859500945410,"@Norv675 @brexit_sham Evidence just after the vote showed farmers were no more likely than anyone else to vote for Brexit. Anyway, this is Scotland where a majority voted remain."
240276277,@philipstephens Auto goal. Many who voted for Brexit regret it. They didn’t understand the consequences and basically voted to keep immigrants out! Now we have farmers who voted for Brexit bemoaning the fact that their EU subsidies have stopped and their is a shortage of migrant labourers.
296298287,"Did anyone honestly think farmers would be better off losing the Common Agricultural Policy after Brexit? Short read…

https://t.co/H9y6aUvS8v"
1439919178115342342,"@Rob_Kimbell Leavers campaigned promising single market access, we would maintain environmental and food safety standards and we would be in a position to grow with superb trade deals. The new deals we have are disastrous for farmers and standards. No one voted for this horrendous Brexit. https://t.co/I5wd0uFVa1"
1558945040331948032,"@cleckylad According to all fishermen and farmers Brexit is a resounding success.
Don't really see many fishermen or farmers these days."
1475430493520809992,"@YVothihai @FCDOGovUK But NHS is dying, DWP kills disabled people &amp; with mental problems cutting their benefits, homeless die on the streets, but keeps tons of migrants in hotels with everything free, can't f protect their own borders, most local farmers are f cause no work force/UK wanted brexit🤣🤣"
1460735380353867776,"@penhaphi @iamundertow @orchardgirluk @PaulBennison @MitchBenn @Femi_Sorry @NicholasTyrone @DeborahMeaden Deluded. No deal is better than before,vast majority just roll overs. George Useless came clean about how shite the Aus/NZ deals are for Brit farmers. Only good thing is the clause that allows it to be cancelled! His words.The OBR says that Brexit has knocked 4% off the economy."
884401843,"@PollingReportUK @Perran4CRH Hopefully the general public of Camborne and Redruth wont be conned by useless eustice again just remember hiw he screwed over the farmers and fishermen with his Brexit lies, kick him out"
218097619,@brexit_sham But probably most farmers voted for Brexit
791957137383497730,"@catherinerowett @NicholasTyrone That's the bad side of the EU. Bureaucratic overreach under the guise of extending rights, protecting the environment/minorities/farmers... that's the main reason I was pro Brexit."
28887825,@robert0461 Farmers who voted brexit in vast numbers
56042830,@tractorgirly @theSNP Scotland as a nation did not vote for Brexit. Our farming &amp; fishing industries were lied to. Given false promises by the UK gov't.  Are you aware of how many farmers/fishermen are now out of work and losing their livelihoods BECAUSE of Brexit.
3154544671,"@MadeInNI1921 @JamieBrysonCPNI We’re talking about CAP here - not defending HMG or Brexit.
There’s nothing preventing a govt from giving more or less of the money to farmers, or indeed not subsidizing farming at all if that is what voters decide."
2922619011,"@disruptordavies @ByDonkeys I do talk to local farmers and the ones I've spoken with have had little to no impact as defra are still providing grants. Rather than turn every negative out there as a result of #Brexit, try looking at the positives and good from it. It's not all doom and gloom!"
1097460462260760576,"“A great deal is something more beneficial to agriculture... There’s no way you can dress those trade deals up as a as a good thing. I’ve heard farmers say the industry was more or less chucked under a bus.”
#Brexit #BrexitReality 
https://t.co/NDQmpJHqOz"
922876984140673024,"@Kilsally So the UK was not a democracy before Brexit according to Lord Frost.
What changes has the UK done to fix this if Lord Frost believes this was the case?
Plus given the limited supranational power, what advantage was it selling out UK farmers for trade deals with Australia and NZ?"
1355444162301227008,"@commer2stroke ""Er...do you mean an ""NFU"" report...""

Yes. I meant the NFU

Let me guess the 'faming area' in which you live is full of Brexit voting 'never been better off' farmers whose fields are full of Brexit voting ex-ambulance driving crop pickers. :¬))"
1411637073971384321,"@NornIrishBrit @JamieBrysonCPNI @SJAMcBride OMG I can actually agree. In SW England most farmers, fishermen and business have been seriously affected by Brexit and are struggling despite the MPs (Rees-Moggs) propaganda. Most would relish a protocol system as borne out by pools via, yougov and other organisations."
20333840,"@PaulbernalUK @CJCFaulkner @BritCits conditions have been affected not only by Tory mismanagement but also by loss of trade, etc, due to Brexit. Same with farmers, the fishing industry, etc, and that to turn things around the ONLY way is to join the CU and SM. He would then have to be honest that FoM is the price to"
25823535,"@KerryanneWilde @ByDonkeys So the loss of the CAP’s to local farms is not impacting them then.
The increase in equipment replacement and parts is not impacting them along with shortages and delays.
Maybe try talking to farmers locally about the issues Brexit has caused the sector."
1599141836148379654,"Wasn't brexit supposed to fix this? Just like it was supposed to raise salaries, make farmers and fishers richer, boost the uk economy...is like brexit had nothing to do with fixing these stuff after all and the brexiteers got scammed big time :)). https://t.co/Ft12Jnosym"
1041660858277933057,"@sid_rambling @JeffersUtd @JMPSimor How did you come to that conclusion? Brexit has given them free reign to diminish our rights, to make trade deals which disadvantage farmers. All of the things wrong in this country are a result of brexit the government chooses to blame Ukraine and Covid."
30701862,"For many people, including business owners and farmers, Brexit has been a disaster.

Polls indicate that 56% of the British people think Brexit was a mistake. https://t.co/6px8a0f1NP"
19063329,"@Samfr It's inevitable we'll move closer to the EU and its success will come down to presentation.

It will be as a patriotic gesture - a new Brexit deal to help ""British farmers, British fishermen, British businesses and British musicians make the most of our new opportunities..."""
4120967009,‘We’re only seeing the negative’: UK farmers on Brexit and losing the common agricultural policy  &amp; I thoroughly share  that perception! Retweet if you agree!https://t.co/WGuZOovVMD
12870222,@RupertMyers Farmers putting up pro brexit signs in fields (they might have changed their minds now)
267976688,@AdrianFarrellAT @unherd @JLewisStempel If #Breixt loons think any present or  future UK Gov is going to get into a full blown trade war with EU to save pig farmers or any UK farmers they're deluded. UK already sold UK farmers out with Australia trade deal that pro Brexit George Eustice now says was a bad deal.
2473900885,"Morning #Leave voters. Has the penny dropped yet?

#Brexit #Fail #RejoinEU

https://t.co/hYUvobYw3P"
227682918,"For many people, including business owners and farmers, Brexit has been a disaster.

Polls indicate that 56% of the British people think Brexit was a mistake https://t.co/oSMNQ6uZp8"
953555978,"#Tory #TaxFRAUD #BrexSHIT #ParasiteVERMIN #BREAKING.
https://t.co/YHdOCYe6Mh"
400978084,"@Nigel_Farage 6.5 years ago the mainstream media made a historic error of giving you a platform. What has been the benefits of brexit for the man on the street or the farmers or fishermen or the NHS ? 

Please give an answer sir ."
561310857,‘We’re only seeing the negative’: UK farmers on Brexit and losing the common agricultural policy👀🗳️🃏🤔 https://t.co/FQcPxakIpb
17691427,@TerraOrBust @Painterwrites @JPThrough1 It's easier for them to sell inside the single market. UK was geographically convenient when it was a member. NI remains convenient. GB does not. Irish farmers will continue to sell the produce within the SM thanks to increased direct shipping and supply gaps created by Brexit.
1265360221246980096,Oh yeah we can do a deal with Beef and ruin our farmers or maybe wood and chop down the rain forest… anything to make Brexit look good. https://t.co/KzdiX9Xaj3
925413151704788998,@DanielJHannan - so; have you spoken to those farmers and commercial fishermen since Brexit to see how happy they are? https://t.co/G1cifBRvzS
1271274279934492673,"@jtstar2000 @bolddigger52 Brexit hasn't been implemented in full. Weak leaders, right from Boris onwards. We could have supported our farmers for example and moved towards self sufficiency on food. Fisheries were abandoned.. and border control is non existent too."
1489639392029417480,"@ndwilliams1975 @PaulEmbery No, it Putin that has caused mass instability. That makes Brexit look like a minor ripple. Pleased to note we are no longer funding French/EU farmers!!"
2598711645,"Who thinks being out of the #EU is benefiting the fishermen and farmers? 

When you’re standing in a queue of 300 + holidaymakers at a European customs checkpoint, thank Brexit for your wait. 

After #ScottishIndependence2023 we can join Croatia. 🏴󠁧󠁢󠁳󠁣󠁴󠁿🇪🇺"
354355068,"@markjenkinsonmp @Conservatives 1/2 What do you deliver?No brexit benefits/World Class lies and Corruption/ A carousel of Mps each worse than the one before/Pathetic trade deals that penalise British farmers/Lies about environmental legislation/Failure to publicise Russia enquiry, COVID enquiry/failure to"
1017007232028958720,https://t.co/IxQGYeiP6D
799740966005522432,"‘We’re only seeing the negative’: UK farmers on Brexit and losing the common agricultural policy. Berouw komt na de zonde. #landbouw 
https://t.co/fOFAGvAz39"
542025094,"The Welsh Liberal Democrats continue to call for the UK to rejoin the single market and the customs union. Be brave, bold, courageous - don’t give in to the bullies - businesses and farmers need us to be strong together https://t.co/jxQOIKosqG"
1532259104990846976,@BREXIT_Dan @TerryReintke Now you can see what a disaster that has been. Fishermen unable to sell their catches. Farmers sold out. The Good Friday Agreement being trashed. Northern Ireland is the only area in the UK that is prospering as it's still in the Single Market.
31135856,"#Brexit is disaster for UK farmers: no more EU farm subsidies &amp; easy access to EU export market, undercut by trade deals giving access to UK market to rival farmers in Australia, NZ etc

The Tories lied to farmers &amp; worsened UK dependence on overseas food https://t.co/10Yqw4IG9I"
1471238956524130304,"@UKIP Or: campaign to Rejoin the EU, the real solution.
By the way, now that you got rid of the forriners that used to pick the produce you want us to buy from them, how is it going to get from the fields to us, huh?
https://t.co/1xS9Rzi5de"
217125302,"@FesserJerry @PhillipsPOBrien Gravity in trade has always been accepted as fact, except in Brexiter circles where they like to deny reality, and if Brexit has proved one thing  it's the importance of converging standards rather than diverging. Just ask the farmers about that.

Are you sure you voted Remain?"
