,tweets,stopwords,upper
22769442,brexit_sham Is that all the farmers we have left now,6,0
2156827702,"Brexit benefits  Sunlit uplands Anyone
Just 224 farmers were paid under postBrexit farming scheme last year httpstcocFQNrJ93Bs",2,0
124274104,"Because Brexit really is shit
httpstcoTCbx863KE4",1,0
1562050369353650178,"CairnsAlistair GaryMcleft Arron_banks 224 farmers in England were paid under the governments flagship postBrexit naturefriendly agriculture scheme last year
Leaked figures show that only a tiny fraction of the farms received payment under the  SFI the governments plan to replace EU farming subsidies",13,2
856131906,"Brexit
Farming

Brexit lies British farmers despair of the truth of a Brexit in 2023 

TMLD NEWS

ConservativeParty
Conservatives 

httpstcoiufUz5R7oV via YouTube",5,2
570783790,Just 224 farmers were paid under postBrexit farming scheme last year httpstcoCXPytOHYYc,2,0
29659071,BritishAlba Go and speak to farmers and people in the SW Most of their funding has dried up since Brexit Reality is regions are now competing with national priorities for funding in a way they werent before and Westminster priorities tend to win out,21,1
1854347322,Just 224 farmers were paid under postBrexit farming scheme last year httpstcokXX5r0dLxF,2,0
1467688904597856271,Another Brexit miracle How much better things are sure httpstcohdaleNtQky,1,0
701696631331287040,"UK Farmers have lost unfettered access to their nearest export market reduction in farm subsidies have been disadvantaged by trade deals giving access to the UK market to rival farmers from Aus amp NZ
BrexitBrokeBritain Brexitisntworking
httpstcoALbtDhSKVS",11,3
1588874990790868993,"waltjack71 sainsburys Tesco 1GarethWynJones FarmersWeekly FarmersGuardian scottishfarmer NFUtweets natsheep BBCNEandCumbria FarmingUK TheFarmingForum BBCFarmingToday Farmers been buying Japanese vehicles for more than 30 years  because they were cheaperbetter value

Farmers voted for Brexit despite huge benefit from EU subsidies

Farmers vote Conservative  so they vote for an ideology of the free market",15,1
1688351,Just 224 farmers were paid under postBrexit farming scheme last year httpstcoIv4kxXFSrK,2,0
4518290273,"The UKs post Brexit farming scheme should leave our heroic farmers better paid for doing environmental goods like rewilding 

Instead its leaving them facing an uncertain amp financially perilous future We owe them to do better than this 

httpstco947wOiBA5i",12,0
4854823233,Just 224 farmers were paid under postBrexit farming scheme last year httpstcou4FCiVPCoX,2,0
26499221,Stop buying this garbage mans garbage please Common Agricultural Policy payments trying to support EU farmers and keep food affordable but  he doesnt support it because he can put 120M into farming and he likes Brexit httpstcoGmCWaHUbvP,12,2
765200329780654081,Brexit dividend for farmers leave loyalty httpstco1SFkWhOEGQ,1,0
25876418,"Sir James Dyson responds to my article on Brexit and farming My 120m investment in family farm dwarfs CAP receipts he says httpstcoyLq6tLcldk  

Brexit provides the freedom to devise a subsidy regime which replaces the EUs flawed CAP payments
httpstcotCshsAP8W8",11,2
67428426,Just 224 farmers paid under postBrexit farming scheme last year httpstco0D5uH521Rg Guardian,1,0
551309210,"10DowningStreet
Oh dear More Tory incompetence over that gift that never stops giving Brexit
httpstcoYnipWWIRny",3,0
195918495,"NFUtweets any comments
Just 224 farmers were paid under postBrexit farming scheme last year httpstcoMhxcmqfV4i",3,0
96113401,Just 224 farmers were paid under postBrexit farming scheme last year httpstcoELDRYkWfYz,2,0
14242585,May have been a lot of forms to fill in with the EU but at least you got the money  httpstco8YbByAIA5i,12,1
1499086615989436417,Were only seeing the negative UK farmers on Brexit and losing the common agricultural policy  Brexit  The Guardian httpstcoe2kCAo46Ik,5,1
2261336599,Just 224 farmers were paid under postBrexit farming scheme last year in Brexit bonanza rejoineu httpstcof2rLKTLlYw,3,0
1662262598,"Take back control look after our own 

Just 224 farmers were paid under postBrexit farming scheme last year httpstcoSm3OHw8Gwh",5,0
455243596,"More Tory lies amp broken promises
Tory promise to replace EU farming subsidies reneged on as just 224 farmers or 02  of 102000 farmers who received EU subsidies were paid under postbrexit farming scheme last yearfar less than under the EU schemehttpstcok9qDAVw3UT",12,3
2411061455,httpstcojseR4cOMlR,0,0
854449144336982017,Just 224 farmers were paid under postBrexit farming scheme last year httpstcoy2GsB6g8yM,2,0
14785823,Syniadau gwych Ond dim gobaith gwerthu orennau fesul cais i gwsmeriaid y DU oherwydd Brexit  httpstcodTpnwDCEun,2,1
883795176224903169,"Just 224 farmers were paid under postBrexit farming scheme last year Leaked figures show tiny fraction of Englands farms received payment under sustainable farming incentive
httpstcovtqFdHvTfN",4,0
1254848311078670342,waltjack71 sainsburys Tesco 1GarethWynJones FarmersWeekly FarmersGuardian scottishfarmer NFUtweets natsheep BBCNEandCumbria FarmingUK TheFarmingForum BBCFarmingToday New Zealand lamb just tastes better and is cheaper and farmers voted for Brexit,5,0
113123928,Farmers face precarious future with loss of CAP httpstcojlHZPtHGrl,2,1
77537857,"Were only seeing the negative UK farmers on Brexit and losing the common agricultural policy

Yes  I have been asking for a balance sheet of Brexit pros and cons from Sir Bernard Jenkins MP from the beginning of the Brexit process but a not a thing httpstcozw9zSPWxvm",20,3
1371790813500424193,httpstco3CjWYGt8EJ,0,0
228176071,Just 224 farmers were paid under postBrexit farming scheme last year httpstcob0kZofQGsU,2,0
832543883196248064,Just 224 farmers were paid under postBrexit farming scheme last  httpstcoHX0uImUfdM,2,0
800717025773400064,"The Guardian Just 224 farmers were paid under postBrexit farming scheme last year
httpstcoiuPx7TfFsu

via GoogleNews",2,0
80021045,"This once again shows that the Government are letting down farmers 

Without these payments thousands of family farmers will go out of business

Conservative Ministers must halt the phaseout of BPS until ELMs is rolled out in full and open to everyone
httpstcoHbXkTAzyn4",19,1
1439298802674962433,Were only seeing the negative UK farmers on Brexit and losing the common agricultural policy httpstco6cEvMwRgf4 Conservatives catastrophic Brexit,5,1
798442902,Just 224 farmers were paid under postBrexit farming scheme last year httpstcoPbELvfVRQh,2,0
831288468437344260,Just 224 farmers were paid under postBrexit farming scheme last year httpstcou0pMaAj3HP,2,0
777934541361123328,"Another shambles theresecoffey  

Long delays to the implementation of the schemes first proposed by michaelgove when he was environment secretary in 2018 but delayed many times since then have caused many farmers not to sign up

httpstcoraqkf1GtrC",15,0
900201493,Just 224 farmers were paid under postBrexit farming scheme last year httpstcohKdT8H9qDo,2,0
2805641943,"More BrexitShambles if only we had told you farmers
httpstcox9nXh9GWPx",5,0
14685924,Surely not what Brexit voters hoped for   httpstcomTe8R7V3aJ,3,0
17119156,Just 224 farmers were paid under postBrexit farming scheme last year httpstco4ZhlRHP4aT,2,0
747349420983754752,Were only seeing the negative UK farmers on Brexit and losing the common agricultural policy ToryBrexitDisaster  httpstcoaazn9cyhgQ,5,1
220365524,"Just 224 farmers paid under postBrexit farming scheme last year 
Brexit
NorthernIreland
Belfast
Scotland 
DUP
UrsulaVonDerLeyen
MichelBarnier
DavidFrost 
RishiSunak 
KingCharlesIII
EU
MichaelGove
Economy
Ukraine
httpstco7ucWSTF3pI",1,2
352998388,"Tories breaking agriculture

The consequence will be offshoring our animal welfare and food safety standards to places like Australia NZ and US instead of accountability to the UK consumer here

Just 224 farmers paid under postBrexit farming scheme 
httpstcoivrYSCnU2z",11,3
1505132118787203074,waltjack71 AmandaKendal sainsburys Tesco 1GarethWynJones FarmersWeekly FarmersGuardian scottishfarmer NFUtweets natsheep BBCNEandCumbria FarmingUK TheFarmingForum BBCFarmingToday Its the free market you know the one pushed by Tories for ever the party that the vast majority of farmers voted for and which got the brilliant NZ free trade deal that favoured their farmers No EU protections Farmers voted for Brexit,16,2
1362177019,Were only seeing the negative UK farmers on Brexit and losing the common agricultural policy httpstcoLAGZygxfYx,5,1
363724934,"world beating  not good for foodsecurity and no good for the environment

Just 224 farmers paid under postBrexit farming scheme last year httpstcosBBxVAaSGU",7,0
1551416341,"The headline doesnt do justice to the importance and complexity of making this transition successful   biodiversity climate resilience
ecosystem all impacted by this

httpstcoOoV6W7khUu",9,0
34687594,"Just 224 farmers paid under postBrexit farming scheme last year

httpstco5Sv5gIOsuZ",1,0
838355126477783048,"Farmers reaping Brexits benefits must grate on those who voted leave
BrexitShambles
httpstcooC0hmA3hGb",3,0
22519204,"No money for Elms means farmers will have no choice but to intensify their agricultural methods which would be disastrous for the environment 
httpstco5nlUEJIagd",11,0
1089150094765641728,Just 224 farmers paid under postBrexit farming scheme last year httpstcoKd4DJeo2z5,1,0
20521666,Early daysclearly huge work to get ELMs moving big time httpstcoP0JhzcCnKp,1,0
236850385,Just 224 farmers paid under postBrexit farming scheme last year httpstcoqHy9ZHHub9,1,0
1198579386682871810,Just 224 farmers in England were paid under the governments flagship postBrexit naturefriendly agriculture scheme last year httpstco0Vmpf1FEyE,4,0
944127427470594048,"Just 224 farmers paid under postBrexit farming scheme last year

If Tory incompetence and dishonesty is so high that they do not hesitate to piss on their traditional rural constituency just think what they are doing to the peasants  httpstcoQebKc3dbZ1",18,0
171920903,Were only seeing the negative UK farmers on Brexit and losing the common agricultural policy httpstcoleRH5pil7X,5,1
124296126,Just 224 farmers paid under postBrexit farming scheme last year httpstcoYrNhC2Fdw5,1,0
1410540669173743619,Just 224 farmers paid under postBrexit farming scheme last year httpstcoNhxhLSPEK0 BrexitCarnage,1,0
1932207270,Just 224 farmers paid under postBrexit farming scheme last year httpstcoU7fa6i3rLu,1,0
902620050636595203,"Big promises as usual for the farming subsidy supposed to replace the former EU subsidy 02 of eligible farmers received it Brexiter lies and short changing as usual BrexitCarnage 

httpstcoGwZ2s7gpKF",9,1
283636451,Just 224 farmers paid under postBrexit farming scheme last year httpstcoQ8ICAFTRe2,1,0
62626172,Just 224 farmers paid under postBrexit farming scheme last year httpstcoluyx8ddPh5,1,0
138403219,"Its a litany of failure Just 224 farmers paid under postBrexit farming scheme last year farmers  NFU

httpstcoFW6n9HdPlv",3,1
504584963,"BrexitShambles added to Tory incompetence

Unbelievable

ScottishIndependence

httpstcoGBjhJACZNx",1,0
204923510,Just 224 farmers paid under postBrexit farming scheme last year httpstcoQjokOMgrXw,1,0
1601618781910048768,"Only 224 farmers paid under the postBrexit farm scheme last year   Agriculture
httpstcoNAEPmluvFi",2,0
3253345791,Were only seeing the negative UK farmers on Brexit and losing the common agricultural policy httpstcosKM1VmRWe6,5,1
334626332,Just 224 farmers paid under postBrexit farming scheme last year httpstcotHhZtS2Xgj,1,0
3062777470,"Leaked figures show tiny fraction of Englands farms received payment under sustainable farming incentive

Just 224 farmers in England were paid under the governments flagship postBrexit naturefriendly agriculture scheme last year httpstcoNQTSXYuwCa",6,0
191112958,Just 224 farmers paid under postBrexit farming scheme last year httpstcoHQIuwTctyF,1,0
2268854223,"ClaudiaWebbe julesbrown12 I wonder too Claudia  What about apologising for the true and
dastardly fascist rampage entitled Brexit  Blindfolded ideology
of wreckingball proportions bankrupting thousands of SMEs Farmers Fruiterers etc
Hybrid PM occupies  headspace likely to be  2030 or so",11,2
2899852173,Just 224 farmers paid under postBrexit farming scheme last year  Farming httpstcoihd4jXvaAb,1,0
1431381303568576519,Just 224 farmers paid under postBrexit farming scheme last year  Farming  The Guardian Grow the pie she said  Growing grain might help Doh pe Brexit innit  httpstcoWWeaI1EWHm,3,0
162973672,Just 224 farmers paid under postBrexit farming scheme last year httpstcoPrMrnUaO4m,1,0
1412369746457088000,Were only seeing the negative UK farmers on Brexit and losing the common agricultural policy  Brexit httpstcot2Zm7QHg3x,5,1
467369703,Exclusive by me and fionaharvey from the Oxford Farming Conference just 224 farmers have been given their post Brexit farming payments OFC23 ORFC2023 httpstcolwWn0mkGUv,9,2
986338091500785664,Just 224 farmers paid under postBrexit farming scheme last year  Farming  The Guardian httpstcocP7gJswxlg,1,0
424680285,waltjack71 sainsburys Tesco 1GarethWynJones FarmersWeekly FarmersGuardian scottishfarmer NFUtweets natsheep BBCNEandCumbria FarmingUK TheFarmingForum BBCFarmingToday But but the Tories told us they made a great deal with New Zealand Most UK farmers voted Brexit  shouldnt they just Get Over It,7,1
107956816,waltjack71 sainsburys Tesco 1GarethWynJones FarmersWeekly FarmersGuardian scottishfarmer NFUtweets natsheep BBCNEandCumbria FarmingUK TheFarmingForum BBCFarmingToday Farmers voted for Brexit  Sunlit uplands of trade agreements with NZ etc,3,1
603077286,natalieben UK farmers are being priced out by supermarkets Farmers are leaving the industry by choice or by insolvency Government happy to do Trade Deals with Australia and NZ undermining our Farmers Even the NZ media realise this would affect UK Farmers Brexit benefit of course,17,4
752618003213197312,waltjack71 sainsburys Tesco 1GarethWynJones FarmersWeekly FarmersGuardian scottishfarmer NFUtweets natsheep BBCNEandCumbria FarmingUK TheFarmingForum BBCFarmingToday I believe most farmers voted for Brexit This is Brexit,3,1
339186712,"Tonkerdog69 spencerdjames darrengrimes_ Anyway hows that list of Brexit benefits coming on
What happened to the great trade deal with the USA we were promised So far we have a terrible deal with Australia that will put British farmers out of businessany other bonuses on the horizon",20,1
3345235197,"Have you seen the recent article in the guardian 
Our Deputy President Ian Rickman explains the challenges that farmers are still facing due to Brexit 

 httpstcomNKJPrETrl",8,0
975838020640403459,"jimdixonwriter JimfromOldham horton_official UKLabour And important UKLabour arent afraid of food amp farmers Farming has been fcked over by the Conservatives amp their brexit 

NFUtweets are good advisors but LandworkersUK  UKSustain ofgorganic SoilAssociation tenantfarmers amp others are essential voices",10,0
194119160,BenDooley8 waltjack71 sainsburys Tesco 1GarethWynJones FarmersWeekly FarmersGuardian scottishfarmer NFUtweets natsheep BBCNEandCumbria FarmingUK TheFarmingForum BBCFarmingToday Oh really But we havent had a situation when the Government is so desperate for trade deals to legitimise Brexitthat food from the other side of the world is much cheaper than food from the farm next door Still doesnt explain why so many farmers voted leave Madness,20,0
3157833324,MagnusCanis2 Musc1esbri2 NicholasTyrone mrjamesob The irony is brexit is hurting those that voted for it the most  fishermen farmers etc Areas that got EU funding have had it slashed,12,1
2875721051,ScotTories Please remind us again how you threw farmers under the Brexit bus,5,0
979261273,Cynfab3 markchopharris PeterGriffinUk1 NicholasTyrone Exactly Jacob William ReesMogg and his ilk didnt advocate in favor of Brexit in order to subsidies British farmers Deregulated Singapore on Thames is not going to be any nirvana for small local farmers only for the wealthy land owners and unscrupulous hedge funds,17,0
2178744220,katebattrick Pity the fishermen who thought that Farage was their friend and believed his Brexit rhetoric But NFUtweets recommended staying in the EU EU referendum National Farmers Union backs staying in EU httpstcouimAjw3xz4,10,3
1350976129218306058,"searedsha u are a silly tart

people like u made brexit happentrump to winnearly win againbrazil trumpitaly and sweden going right wingeastern europe  right wingle pen in france as you are out of touch and call people bad names as ur sooo full of manure that farmers r running short",14,0
1394672686366871556,For context it will take pork farmers 200000 years of this trade deal to save back one year of Brexit losses Good deal httpstcoIUqJIa0xs3,6,0
1286469894,helenjerome You can see how well British farmers are doing from this story last week httpstcorMoLR1jo3W,6,0
226512656,Were only seeing the negative UK farmers on Brexit and losing the common agricultural policy httpstcoABqq1nV7EF,5,1
2605992030,"waltjack71 sainsburys Tesco 1GarethWynJones FarmersWeekly FarmersGuardian scottishfarmer NFUtweets natsheep BBCNEandCumbria FarmingUK TheFarmingForum BBCFarmingToday Because our farmers dont make sure our farming organisations are being proactive to ensure our government is being supportive like theirs are 
Any farmer who voted for the Tories or voted for Brexit voted for this",17,0
351111627,"Govt Ministers answer to Brexit failure costing the UK 40bn a Year in lost tax revenue   is 

for UK farmers to sell Xmas pigs in blankets to South Korean diners in 5 year deal worth  wait for it 

1m

This is the BrexitReality 

You couldnt make this shit up  httpstcoFBfuggXeLa",16,2
489377813,DnrTrae Its just not true that 70 of farmers voters Brexit And its now irrelevant,6,0
1510865376237740036,"Shame on the Guardian for not asking the farmers how they voted Everyone complaining about it should be asked

Were only seeing the negative UK farmers on Brexit and losing the common agricultural policy  Brexit  The Guardian httpstco6jW2eQlT4v",16,1
955489003276521473,BSAMBROOK JjinUk64 spectator No its pretty simple Im a trained negotiator The UK gave up more than it should to get a fast deal hurting UK farmers just to please the ignorant gammon Our negotiators are useless Real negotiators wouldnt touch brexit with a bargepole because its loselose,17,3
1293573317434146816,"55 p per day for pig farmers across the UK 

Another massive Brexit win 

We should have left sooner httpstcoTLYr6TZEWO",4,1
1433883409106055172,scrum5atk BeckettUnite There is a reason they arent being used for farming because farming in this country is way too expensive Farmers sell their land for solar farms and they cant make any money actually farming mainly cause of brexit and cutting farming subsidies,17,0
2748240700,PeterStefanovi2 mikegalsworthy Do you remember when Michael Gove promised Farmers that food standards would not be reduced or removed post Brexit I do httpstcow2sPCkSbjP,7,1
105748390,PeterStefanovi2 Thank god for Brexit the economy is saved The farmers are ecstatic Oh you mean ONLY a million value in 5 years and theyre bragging about it,10,1
1501716185234096129,"NicholasTyrone Amen to that

It makes me angry that the govt would commit to trade deals that actually make our situation worse according to farmers amp they know their business just to pretend that Brexit has a plus amp help save their worthless skins",17,0
1610304455362084865,EuroManc Brexit was so clearly against our own interests as those who initailly bought the slogan taking back control like farmers and fisheremen have found Only a vague confused question got it through The Irish unlike us know how to run referenda,16,0
246702542,jhammond1993 WritesBright Brexit is certainly main issue There are so many NHS staff that left because of Brexit Its same story with farmers who are now crying theyve got no one to pick their fruits amp vegs its due to Brexit xenophobia that drove those EU migrant workers out of the UK,21,3
1397978657998651399,Were only seeing the negative UK farmers on Brexit and losing the common agricultural policy Brexit is failing  And this is only the beginning httpstcoJ6vaBzKoSo,10,1
1579781852646309892,alanmoore1967 delroymorrison2 MatthewStadlen According to most farmers and NUF it is brexit that has damaged British agriculture by erecting trade barriers and NTBs,9,1
1104702810220888064,Bigkeggy1 TheActofUnion MrRCain2 Perhaps promoting and endorsing Brexit Taking 635000 to encourage and promote Brexit Ignoring business retail amp farmers across the NorthFailing to accept anything other than a hard Brexit Alienating anyone and then suffering amnesia that was what they demanded,14,0
82342610,AndrewRTDavies Id rather have a discussion on EU CAP payments Do you think farmers who claim it should give it back to taxpayers being as Brexit being done,12,2
173389204,GregHands Is this a parody account 1m over five years when the loss of the EU subsidy has pushed 42 of farms from profit into loss Not even a drop in the ocean Deals with NZ amp Australia have only made matters worse too httpstco8eoqemxt6a,18,2
321417084,"SamanthaJooste brexit_sham Polling at the time in Farmers Weekly showed that farmers were 525475 in favour of Leave which is the same as the general population given the margin of error

There were many cases of landowners erecting Leave signs doesnt mean the farmers agreed",18,0
138108708,The replacement of the EUs disastrous Common Agriculture Policy in England with a new system of payments for environmental land management means farmers in our remoter landscapes will be paid to lead the change which is now inevitable This by me End httpstcomz1vxz4lwx,18,0
1600157546483892224,Farmers need new products to cope with climate change Fishing for Brexit opportunities will end with an unsatisfactory haul,6,0
481576485,GregHands Wow 1 million over 5 years for pork farmers  the brexit dream is sure delivering hahah,4,0
959107859500945410,Norv675 brexit_sham Evidence just after the vote showed farmers were no more likely than anyone else to vote for Brexit Anyway this is Scotland where a majority voted remain,13,0
240276277,philipstephens Auto goal Many who voted for Brexit regret it They didnt understand the consequences and basically voted to keep immigrants out Now we have farmers who voted for Brexit bemoaning the fact that their EU subsidies have stopped and their is a shortage of migrant labourers,20,1
296298287,"Did anyone honestly think farmers would be better off losing the Common Agricultural Policy after Brexit Short read

httpstcoH9y6aUvS8v",4,0
1439919178115342342,Rob_Kimbell Leavers campaigned promising single market access we would maintain environmental and food safety standards and we would be in a position to grow with superb trade deals The new deals we have are disastrous for farmers and standards No one voted for this horrendous Brexit httpstcoI5wd0uFVa1,16,0
1558945040331948032,"cleckylad According to all fishermen and farmers Brexit is a resounding success
Dont really see many fishermen or farmers these days",7,0
1475430493520809992,YVothihai FCDOGovUK But NHS is dying DWP kills disabled people amp with mental problems cutting their benefits homeless die on the streets but keeps tons of migrants in hotels with everything free cant f protect their own borders most local farmers are f cause no work forceUK wanted brexit,14,2
1460735380353867776,penhaphi iamundertow orchardgirluk PaulBennison MitchBenn Femi_Sorry NicholasTyrone DeborahMeaden Deluded No deal is better than beforevast majority just roll overs George Useless came clean about how shite the AusNZ deals are for Brit farmers Only good thing is the clause that allows it to be cancelled His wordsThe OBR says that Brexit has knocked 4 off the economy,18,1
884401843,PollingReportUK Perran4CRH Hopefully the general public of Camborne and Redruth wont be conned by useless eustice again just remember hiw he screwed over the farmers and fishermen with his Brexit lies kick him out,15,0
218097619,brexit_sham But probably most farmers voted for Brexit,2,0
791957137383497730,catherinerowett NicholasTyrone Thats the bad side of the EU Bureaucratic overreach under the guise of extending rights protecting the environmentminoritiesfarmers thats the main reason I was pro Brexit,9,2
28887825,robert0461 Farmers who voted brexit in vast numbers,2,0
56042830,tractorgirly theSNP Scotland as a nation did not vote for Brexit Our farming amp fishing industries were lied to Given false promises by the UK govt  Are you aware of how many farmersfishermen are now out of work and losing their livelihoods BECAUSE of Brexit,19,2
3154544671,"MadeInNI1921 JamieBrysonCPNI Were talking about CAP here  not defending HMG or Brexit
Theres nothing preventing a govt from giving more or less of the money to farmers or indeed not subsidizing farming at all if that is what voters decide",19,2
2922619011,disruptordavies ByDonkeys I do talk to local farmers and the ones Ive spoken with have had little to no impact as defra are still providing grants Rather than turn every negative out there as a result of Brexit try looking at the positives and good from it Its not all doom and gloom,25,1
1097460462260760576,"A great deal is something more beneficial to agriculture Theres no way you can dress those trade deals up as a as a good thing Ive heard farmers say the industry was more or less chucked under a bus
Brexit BrexitReality 
httpstcoNDQmpJHqOz",18,1
922876984140673024,"Kilsally So the UK was not a democracy before Brexit according to Lord Frost
What changes has the UK done to fix this if Lord Frost believes this was the case
Plus given the limited supranational power what advantage was it selling out UK farmers for trade deals with Australia and NZ",22,4
1355444162301227008,"commer2stroke Erdo you mean an NFU report

Yes I meant the NFU

Let me guess the faming area in which you live is full of Brexit voting never been better off farmers whose fields are full of Brexit voting exambulance driving crop pickers ",14,3
1411637073971384321,NornIrishBrit JamieBrysonCPNI SJAMcBride OMG I can actually agree In SW England most farmers fishermen and business have been seriously affected by Brexit and are struggling despite the MPs ReesMoggs propaganda Most would relish a protocol system as borne out by pools via yougov and other organisations,15,3
20333840,PaulbernalUK CJCFaulkner BritCits conditions have been affected not only by Tory mismanagement but also by loss of trade etc due to Brexit Same with farmers the fishing industry etc and that to turn things around the ONLY way is to join the CU and SM He would then have to be honest that FoM is the price to,27,3
25823535,"KerryanneWilde ByDonkeys So the loss of the CAPs to local farms is not impacting them then
The increase in equipment replacement and parts is not impacting them along with shortages and delays
Maybe try talking to farmers locally about the issues Brexit has caused the sector",20,0
1599141836148379654,Wasnt brexit supposed to fix this Just like it was supposed to raise salaries make farmers and fishers richer boost the uk economyis like brexit had nothing to do with fixing these stuff after all and the brexiteers got scammed big time  httpstcoFt12Jnosym,16,0
1041660858277933057,sid_rambling JeffersUtd JMPSimor How did you come to that conclusion Brexit has given them free reign to diminish our rights to make trade deals which disadvantage farmers All of the things wrong in this country are a result of brexit the government chooses to blame Ukraine and Covid,20,0
30701862,"For many people including business owners and farmers Brexit has been a disaster

Polls indicate that 56 of the British people think Brexit was a mistake httpstco6px8a0f1NP",9,0
19063329,"Samfr Its inevitable well move closer to the EU and its success will come down to presentation

It will be as a patriotic gesture  a new Brexit deal to help British farmers British fishermen British businesses and British musicians make the most of our new opportunities",18,1
4120967009,Were only seeing the negative UK farmers on Brexit and losing the common agricultural policy  amp I thoroughly share  that perception Retweet if you agreehttpstcoWGuZOovVMD,8,2
12870222,RupertMyers Farmers putting up pro brexit signs in fields they might have changed their minds now,6,0
267976688,AdrianFarrellAT unherd JLewisStempel If Breixt loons think any present or  future UK Gov is going to get into a full blown trade war with EU to save pig farmers or any UK farmers theyre deluded UK already sold UK farmers out with Australia trade deal that pro Brexit George Eustice now says was a bad deal,16,5
2473900885,"Morning Leave voters Has the penny dropped yet

Brexit Fail RejoinEU

httpstcohYUvobYw3P",1,0
227682918,"For many people including business owners and farmers Brexit has been a disaster

Polls indicate that 56 of the British people think Brexit was a mistake httpstcooSMNQ6uZp8",9,0
953555978,"Tory TaxFRAUD BrexSHIT ParasiteVERMIN BREAKING
httpstcoYHdOCYe6Mh",0,1
400978084,"Nigel_Farage 65 years ago the mainstream media made a historic error of giving you a platform What has been the benefits of brexit for the man on the street or the farmers or fishermen or the NHS  

Please give an answer sir ",19,1
561310857,Were only seeing the negative UK farmers on Brexit and losing the common agricultural policy httpstcoFQcPxakIpb,5,1
17691427,TerraOrBust Painterwrites JPThrough1 Its easier for them to sell inside the single market UK was geographically convenient when it was a member NI remains convenient GB does not Irish farmers will continue to sell the produce within the SM thanks to increased direct shipping and supply gaps created by Brexit,18,4
1265360221246980096,Oh yeah we can do a deal with Beef and ruin our farmers or maybe wood and chop down the rain forest anything to make Brexit look good httpstcoKzdiX9Xaj3,12,0
925413151704788998,DanielJHannan  so have you spoken to those farmers and commercial fishermen since Brexit to see how happy they are httpstcoG1cifBRvzS,10,0
1271274279934492673,jtstar2000 bolddigger52 Brexit hasnt been implemented in full Weak leaders right from Boris onwards We could have supported our farmers for example and moved towards self sufficiency on food Fisheries were abandoned and border control is non existent too,12,0
1489639392029417480,ndwilliams1975 PaulEmbery No it Putin that has caused mass instability That makes Brexit look like a minor ripple Pleased to note we are no longer funding FrenchEU farmers,8,0
2598711645,"Who thinks being out of the EU is benefiting the fishermen and farmers 

When youre standing in a queue of 300  holidaymakers at a European customs checkpoint thank Brexit for your wait 

After ScottishIndependence2023 we can join Croatia ",16,1
354355068,markjenkinsonmp Conservatives 12 What do you deliverNo brexit benefitsWorld Class lies and Corruption A carousel of Mps each worse than the one beforePathetic trade deals that penalise British farmersLies about environmental legislationFailure to publicise Russia enquiry COVID enquiryfailure to,11,2
1017007232028958720,httpstcoIxQGYeiP6D,0,0
799740966005522432,"Were only seeing the negative UK farmers on Brexit and losing the common agricultural policy Berouw komt na de zonde landbouw 
httpstcofOFAGvAz39",5,1
542025094,The Welsh Liberal Democrats continue to call for the UK to rejoin the single market and the customs union Be brave bold courageous  dont give in to the bullies  businesses and farmers need us to be strong together httpstcojxQOIKosqG,13,1
1532259104990846976,BREXIT_Dan TerryReintke Now you can see what a disaster that has been Fishermen unable to sell their catches Farmers sold out The Good Friday Agreement being trashed Northern Ireland is the only area in the UK that is prospering as its still in the Single Market,22,1
31135856,"Brexit is disaster for UK farmers no more EU farm subsidies amp easy access to EU export market undercut by trade deals giving access to UK market to rival farmers in Australia NZ etc

The Tories lied to farmers amp worsened UK dependence on overseas food httpstco10Yqw4IG9I",11,6
1471238956524130304,"UKIP Or campaign to Rejoin the EU the real solution
By the way now that you got rid of the forriners that used to pick the produce you want us to buy from them how is it going to get from the fields to us huh
httpstco1xS9Rzi5de",23,2
217125302,"FesserJerry PhillipsPOBrien Gravity in trade has always been accepted as fact except in Brexiter circles where they like to deny reality and if Brexit has proved one thing  its the importance of converging standards rather than diverging Just ask the farmers about that

Are you sure you voted Remain",20,0
1007306799026974721,JamesCleverly KemiBadenoch tradegovuk How can you ignore utterly real worries of British farmer eg Welsh sheep farmers Brexit is a disastrous own goal httpstcotU1Sdtb7xr,6,0
1594327276564496384,JqrSmith snb19692 I live on the South Coast no they did not Remain scare story was Dover would be choked and the M20 blocked with lorries trying to get there it has happened previous years when french farmers blockaded Calais but not because of Brexit scares and lies is all Remain offered,23,2
22373441,GGriffithsbrown Morrisions httpstcocsvbCrCyT3 Interesting reading France supplied up to half a million tonnes of beet sugar to the UK prior to Brexit And locally beet farmers are turning away from the crop due to higher production costs and lower yields,12,1
1586125327453114368,Iam getting sick of hearing same bs about brexit Take a look at eu Germany about to fall Holland stealing land from their farmers funding a war nobody wants shall I go on remainders wake up eu my arse stop the war peace,14,1
1122931725280194560,Were only seeing the negative UK farmers on Brexit and losing the common agricultural policy httpstcoDRBuuLBjJG,5,1
1579880450532806661,premnsikka Piss off the current situation is nothing to do with Brexit Its printing money into oblivion thats caused inflation The whole financial system is about to change soon anyway CBDCs are coming cash is history Things are worse in the EU ask the Dutch farmers,16,1
1887781854,"RicHolden Even staunch Brexiteer and ex Tory Environment Secretary George Eustice and most farmers think the Australia deal is rubbish and bad for Britain 

The Conservatives are literally working against Britain   Shameful  

httpstcoqw19rPC8pB",9,0
